title,authors,publisher,year,rating,ratings_count,pages,domain,tags,framework_ref,categories,isbn,url,summary,source,collected_at
The Global Business of Coaching,"David Lines, Christina Evans",Routledge,2020,5,1,223,Relationship Management,coaching|mentoring|leadership,none,Business & Economics,9780429884917,https://play.google.com/store/books/details?id=nOreDwAAQBAJ&source=gbs_api,"Coaching has become a global business phenomenon, yet the way that coaching has evolved and spread across the globe is not unproblematic. Some of these challenges include: different types/genres of coaching; understanding and relevance of different coaching philosophies and models in different cultural contexts; equivalency of qualifications and coach credentials, as well as questions over standards and governance, as part of a wider debate around professionalization. Coaching then, as with the ",Google Books,2026-08-30
Leadership for Health Professionals,"Ledlow, James H. Stephens",Jones & Bartlett Learning,2017,5,1,532,Relationship Management,leadership,none,Business & Economics,9781284109412,http://books.google.com/books?id=Lx8CDgAAQBAJ&dq=coaching+mentoring+leadership&hl=&as_pt=BOOKS&source=gbs_api,"Leadership for Health Professionals, Third Edition is the first textbook of its kind to apply classical knowledge of leadership theory and time-honored best practices of industry leaders to a health organization context. This comprehensive and well-organized text is grounded in real-world applications of theoretical concepts, and focuses on practical examples of leadership in actual healthcare scenarios.",Google Books,2026-08-30
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler",McGraw Hill Professional,2011,5,1,256,Communication,crucial-conversations|conversation,none,Business & Economics,9780071784948,https://play.google.com/store/books/details?id=KPIdif2ZRmsC&source=gbs_api,"Learn to communicate best when it matters most; 16 exclusive videos demonstrating crucial conversation techniques show you how! The classic guide to conversing in high-impact situations, Crucial Conversations helps you get constructive results when emotions run high and opinions vary, in the workplace and beyond. It explains how to: Transform negative feelings into powerful dialog Make it safe to talk about almost anything Be persuasive, not abrasive Improve professional and personal relationshi",Google Books,2026-08-30
Persuasion,Jasper Kim,Routledge,2018,5,3,127,Relationship Management,influence|persuasion,none,Social Science,9781351113694,https://play.google.com/store/books/details?id=mnlTDwAAQBAJ&source=gbs_api,"Persuasion: The Hidden Forces That Influence Negotiations represents the first book of its kind to package and present persuasion principles in an innovative, international, and interdisciplinary fashion. This easy-to-understand book is the culmination of seminal research findings spanning across decades and disciplines – psychology, philosophy, negotiations, decision-making, logic, law, and economics, among others – from esteemed experts around the world. Persuasion provides a series of short, ",Google Books,2026-08-30
Let the Story Do the Work,Esther K. Choy,AMACOM,2017,5,1,258,Relationship Management,leadership|relationship,none,Business & Economics,9780814438022,https://play.google.com/store/books/details?id=3BEqDwAAQBAJ&source=gbs_api,"People forget facts, but they never forget a good story. Let the Story Do the Work shows how the art of storytelling is key for any business to achieve success. For most, there’s nothing easy about crafting a memorable story, let alone linking it to professional goals. However, material for stories and anecdotes that can be used for your professional success already surround you. To get people interested in and convinced by what you are saying, you need to tell an interesting story. As the Found",Google Books,2026-08-30
Understanding Ethics and Ethical Decision-Making,Vincent Icheku,Xlibris Corporation,2011,5,1,185,Thinking & Deciding,decision-making|ethics,none,Philosophy,9781465351319,https://play.google.com/store/books/details?id=NOE29wMic-QC&source=gbs_api,"This book has been about ethics and ethical decision making. As ethical refl ection permeates every decision made in practice, the book discussed the importance of developing moral reasoning ability, which is crucial for handling ethical dilemma and making ethical decisions in nursing and social work practice. The book encouraged the use of models as another form of ethical decision-making paradigms. The book used discussions based on case studies to illustrate how ethics inform practice and all",Google Books,2026-08-30
Creative Problem Solving for Managers,Tony Proctor,Routledge,2014,5,1,445,Thinking & Deciding,creative-thinking|creativity|problem-solving,none,Business & Economics,9781134685813,http://books.google.com/books?id=6Ew3AgAAQBAJ&dq=creative+thinking+innovation&hl=&as_pt=BOOKS&source=gbs_api,"Stimulating and developing the creative potential of all members of an organization (not just those in the more traditionally creative functions such as design or research and development) is widely seen as contributing to performance and results. This textbook introduces ideas, skills and models to help students understanding how creative thinking can aid problem-solving. The latest edition of this well-regarded book brings the story up to date whilst retaining popular features such as case stu",Google Books,2026-08-30
An Introduction to General Systems Thinking,Gerald M. Weinberg,"Dorset House Publishing Company, Incorporated",2001,5,2,308,Thinking & Deciding,systems-thinking,none,Business & Economics,9780932633491,http://books.google.com/books?id=eU9gDxt9X0wC&dq=systems+thinking&hl=&as_pt=BOOKS&source=gbs_api,"A classic introduction to systems theory, with applications in computer science and beyond. -- Back cover.",Google Books,2026-08-30
The Systems Thinking Playbook,"Linda Booth Sweeney, Dennis Meadows",Chelsea Green Publishing,2010,5,1,258,Thinking & Deciding,systems-thinking,none,Business & Economics,9781603582582,http://books.google.com/books?id=rNSNtQ8cPYUC&dq=systems+thinking&hl=&as_pt=BOOKS&source=gbs_api,DVD contains videos illustrating good practice in introducing and running 30 games.,Google Books,2026-08-30
Psychology of Intelligence Analysis,Richards J. Heuer,Lulu.com,1999,5,2,213,Uncategorised,,none,Psychology,9780160590351,http://books.google.com/books?id=NWwkQoHlsCcC&dq=cognitive+bias+judgment&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Time Management (The Brian Tracy Success Library),Brian Tracy,AMACOM,2014,5,1,113,Professional Effectiveness,time-management|focus|success,none,Business & Economics,9780814433447,https://play.google.com/store/books/details?id=tOFeAgAAQBAJ&source=gbs_api,"It’s a simple equation: the better you use your time, the more you will accomplish and the greater you will succeed. Imagine what you could accomplish with two more productive hours every single day. In this indispensable, pocket-sized guide, business author and success expert Brian Tracy reveals 21 proven time management techniques you can use immediately to gain two or more productive hours every day. Tracy also identifies and shares the strategies he’s learned himself has identified as the mo",Google Books,2026-08-30
Leadership and Management in Nursing,Anita Ward Finkelman,Prentice Hall,2006,5,1,580,Relationship Management,leadership,none,Business & Economics,,http://books.google.com/books?id=4T1tAAAAMAAJ&dq=time+management+effectiveness&hl=&as_pt=BOOKS&source=gbs_api,"A first of its kind, this ground-breaking book combines print and interactive resources that provide nursing students with the most effective learning experiences. Leadership in Nursing consists of chapters that emphasize interactive learning by interweaving internet-based activities to encourage student involvement and critical thinking. Leadership in Nursing: Principles and Practices is the first resource that combines the most up-to-date leadership and management content with interactive, app",Google Books,2026-08-30
Emotional Intelligence,"Peter Salovey, Marc A. Brackett, John D. Mayer",National Professional Resources Inc./Dude Publishing,2004,4.5,4,352,Uncategorised,,goleman,Psychology,9781887943727,http://books.google.com/books?id=YVKmxr_D7yQC&dq=emotional+quotient&hl=&as_pt=BOOKS&source=gbs_api,Bool of readings collected by cd-founders of emotional intelligence introduces theory measurement & applications of.,Google Books,2026-08-30
Emotional Intelligence,Daniel Goleman,Bloomsbury Publishing,1996,4.5,3,351,Uncategorised,,goleman,"Body, Mind & Spirit",9780747528302,http://books.google.com/books?id=AcJ7dwsnWiIC&dq=emotional+quotient&hl=&as_pt=BOOKS&source=gbs_api,Daniel Goleman offers a vital new curriculum for life that can change the future for us and for our children,Google Books,2026-08-30
Thinking in Systems,Donella Meadows,Chelsea Green Publishing,2008,4.5,4,242,Thinking & Deciding,problem-solving|systems-thinking,none,Business & Economics,9781603581486,https://play.google.com/store/books/details?id=JSgOSP1qklUC&source=gbs_api,"The classic book on systems thinking—with more than half a million copies sold worldwide! “This is a fabulous book… This book opened my mind and reshaped the way I think about investing.”—Forbes “A modern classic”—The New Yorker In the years following her role as the lead author of the international bestseller, Limits to Growth—the first book to show the consequences of unchecked growth on a finite planet—Donella Meadows remained a pioneer of environmental and social analysis until her untimely ",Google Books,2026-08-30
Emotional Intelligence,Daniel Goleman,Bantam,2012,4,6,386,Self-Awareness,self-awareness,goleman,Self-Help,9780553903201,https://play.google.com/store/books/details?id=OgXxhmGiRB0C&source=gbs_api,"#1 BESTSELLER • The groundbreaking book that redefines what it means to be smart, with a new introduction by the author “A thoughtfully written, persuasive account explaining emotional intelligence and why it can be crucial.”—USA Today Everyone knows that high IQ is no guarantee of success, happiness, or virtue, but until Emotional Intelligence, we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our “two ",Google Books,2026-08-30
Understanding and Managing Risk Attitude,"David Hillson, Ruth Murray-Webster","Gower Publishing, Ltd.",2005,4,1,212,Uncategorised,,none,Business & Economics,9780566086274,http://books.google.com/books?id=bKvNHPSe_VMC&dq=emotional+literacy&hl=&as_pt=BOOKS&source=gbs_api,"Risk assessment, Risk analysis, Management, People, Enterprises, Quality and Management",Google Books,2026-08-30
Mindset,Carol S. Dweck,Random House,2006,4,13,322,Self-Management,resilience|growth-mindset,none,Psychology,9781400062751,http://books.google.com/books?id=fT6U0Ee7_kQC&dq=growth+mindset&hl=&as_pt=BOOKS&source=gbs_api,"From the renowned psychologist who introduced the world to “growth mindset” comes this updated edition of the million-copy bestseller—featuring transformative insights into redefining success, building lifelong resilience, and supercharging self-improvement. “Through clever research studies and engaging writing, Dweck illuminates how our beliefs about our capabilities exert tremendous influence on how we learn and which paths we take in life.”—Bill Gates, GatesNotes “It’s not always the people w",Google Books,2026-08-30
Virtual Teams That Work,"Cristina B. Gibson, Susan G. Cohen",John Wiley & Sons,2003,4,1,464,Professional Effectiveness,performance|focus,none,Business & Economics,9780787965693,https://play.google.com/store/books/details?id=Skly8bshKoEC&source=gbs_api,"Virtual Teams That Work offers a much-needed, comprehensive guidebook for business leaders and managers who want to create the organizational conditions that will help virtual teams thrive. Each chapter in this important book focuses on best practices and includes case studies and illustrative examples from a wide variety of companies, including British Petroleum, Lucent Technologies, Ramtech, SoftCo, and Whirlpool Corporation. These real-life examples demonstrate how the principles identified i",Google Books,2026-08-30
Crucial Conversations: Tools for Talking When Stakes are High,"Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler",McGraw Hill Professional,2002,4,28,260,Communication,difficult-conversations|crucial-conversations|conversation,none,Self-Help,9780071415835,http://books.google.com/books?id=7X3JPMMPqYMC&dq=crucial+conversations+difficult&hl=&as_pt=BOOKS&source=gbs_api,"Foreword by Stephen R. Covey, Author of The 7 Habits of Highly Effective People A PAPERBACK ORIGINAL ""Most books make promises. This one delivers. These skills have not only helped us to change the culture of our company, but have also generated new techniques for working together in ways that enabled us to win the largest contract in our industry's history.""--Dain M. Hancock, President, Lockheed Martin Aeronautics A powerful, seven-step approach to handling difficult conversations with confiden",Google Books,2026-08-30
Difficult Conversations,"Douglas Stone, Bruce Patton, Sheila Heen",Penguin,2010,4,1,351,Communication,negotiation|difficult-conversations|conversation,none,Psychology,9780143118442,http://books.google.com/books?id=UEOLDQAAQBAJ&dq=crucial+conversations+difficult&hl=&as_pt=BOOKS&source=gbs_api,"The 10th-anniversary edition of the New York Times business bestseller-now updated with ""Answers to Ten Questions People Ask"" We attempt or avoid difficult conversations every day-whether dealing with an underperforming employee, disagreeing with a spouse, or negotiating with a client. From the Harvard Negotiation Project, the organization that brought you Getting to Yes, Difficult Conversations provides a step-by-step approach to having those tough conversations with less stress and more succes",Google Books,2026-08-30
Thinking Skills,"John Butterworth, Geoff Thwaites",Cambridge University Press,2013,4,1,353,Uncategorised,,none,Business & Economics,9781107606302,http://books.google.com/books?id=o_NjrgmT_loC&dq=critical+thinking+problem+solving&hl=&as_pt=BOOKS&source=gbs_api,"Thinking Skills, second edition, is the only endorsed book offering complete coverage of the Cambridge International AS and A Level syllabus.",Google Books,2026-08-30
Heuristics and Biases,"Thomas Gilovich, Dale Griffin, Daniel Kahneman",Cambridge University Press,2002,4,5,884,Thinking & Deciding,judgment|bias,none,Education,9780521796798,http://books.google.com/books?id=FfTVDY-zrCoC&dq=cognitive+bias+judgment&hl=&as_pt=BOOKS&source=gbs_api,"This book, first published in 2002, compiles psychologists' best attempts to answer important questions about intuitive judgment.",Google Books,2026-08-30
Judgment Under Uncertainty,"Daniel Kahneman, Paul Slovic, Amos Tversky",Cambridge University Press,1982,4,7,574,Thinking & Deciding,judgment|bias,none,Psychology,9780521284141,http://books.google.com/books?id=_0H8gwj4a1MC&dq=cognitive+bias+judgment&hl=&as_pt=BOOKS&source=gbs_api,"Thirty-five chapters describe various judgmental heuristics and the biases they produce, not only in laboratory experiments, but in important social, medical, and political situations as well. Most review multiple studies or entire subareas rather than describing single experimental studies.",Google Books,2026-08-30
Deep Work,Cal Newport,Grand Central Publishing,2016,4,5,229,Professional Effectiveness,productivity|focus|deep-work,none,Business & Economics,9781455586660,https://play.google.com/store/books/details?id=4QTzCAAAQBAJ&source=gbs_api,"Millions of copies sold! The bestselling modern classic that sparked a worldwide conversation about the value of concentration—and the true costs of fractured attention. “I’m handing you the answer to the overwhelm you feel, and his name is Dr. Cal Newport.” —Mel Robbins, The Mel Robbins Podcast, author of New York Times bestsellingThe Let Them Theory Deep Work— the ability to focus without distraction on cognitively demanding tasks—is one of the most important abilities you can cultivate in our",Google Books,2026-08-30
"Principles and Practice of Stress Management, Third Edition","Paul M. Lehrer, Robert L. Woolfolk, Wesley E. Sime",Guilford Press,2007,3.5,2,753,Thinking & Deciding,logic|cognitive,none,Psychology,9781606238288,http://books.google.com/books?id=T-hUvwUNjvUC&dq=mindfulness+meditation&hl=&as_pt=BOOKS&source=gbs_api,"Structured for optimal use as a clinical reference and text, this comprehensive work reviews effective stress management techniques and their applications for treating psychological problems and enhancing physical health and performance. Leading experts present in-depth descriptions of progressive relaxation, hypnosis, biofeedback, meditation, cognitive methods, and other therapies. Tightly edited chapters examine each method's theoretical and empirical underpinnings and provide step-by-step gui",Google Books,2026-08-30
Career Development and Counseling,"Steven D. Brown, Robert W. Lent",John Wiley & Sons,2004,3.5,4,698,Professional Effectiveness,career|performance|focus|success,none,Business & Economics,9780471684879,http://books.google.com/books?id=4IdbmX4pDpkC&dq=career+development+professional&hl=&as_pt=BOOKS&source=gbs_api,"""This is a must-have for any researcher in vocational psychology or career counseling, or anyone who wishes to understand the empirical underpinnings of the practice of career counseling."" -Mark Pope, EdD College of Education, University of Missouri - St. Louis past president of the American Counseling Association Today's career development professional must choose from a wide array of theories and practices in order to provide services for a diverse range of clients. Career Development and Coun",Google Books,2026-08-30
Mindset,Carol Dweck,Hachette UK,2012,3,1,203,Self-Management,resilience|growth-mindset,none,Psychology,9781780333939,http://books.google.com/books?id=R0-eBAAAQBAJ&dq=growth+mindset&hl=&as_pt=BOOKS&source=gbs_api,"World-renowned Stanford University psychologist Carol Dweck, in decades of research on achievement and success, has discovered a truly groundbreaking idea-the power of our mindset. Dweck explains why it's not just our abilities and talent that bring us success-but whether we approach them with a fixed or growth mindset. She makes clear why praising intelligence and ability doesn't foster self-esteem and lead to accomplishment, but may actually jeopardize success. With the right mindset, we can m",Google Books,2026-08-30
"Teamwork, Leadership and Communication","Deborah Lake, Krista Baerg, Teresa Paslawski",Brush Education,2015,3,1,118,Relationship Management,conflict-management|teamwork|collaboration|leadership,none,Medical,9781550596434,https://play.google.com/store/books/details?id=AzotCgAAQBAJ&source=gbs_api,"This practical, straightforward guide presents the basic skills, attitudes, and knowledge needed for successful interprofessional collaboration in healthcare. Collaboration is fundamental to quality healthcare, and many regulatory bodies and accrediting agencies now have standards and benchmarks for interprofessional collaboration. This guide brings together in one volume basic collaboration competencies for healthcare professionals. Teamwork, Leadership and Communication serves both as an intro",Google Books,2026-08-30
Motivate Like a CEO: Communicate Your Strategic Vision and Inspire People to Act!,Suzanne Bates,McGraw Hill Professional,2009,3,1,289,Relationship Management,influence|leadership,none,Business & Economics,9780071641845,https://play.google.com/store/books/details?id=aFIEJDBAV9cC&source=gbs_api,"“An exciting read, you won’t want to put Motivate Like a CEO down until you’ve mastered all of its secrets!” Marshall Goldsmith, New York Times bestselling author of What Got You Here Won’t Get You There ""Motivated leaders are rare, yet everyone seeks to become one. The greatness of this book is that it breaks down the process by giving you the ideas and the tools to motivate and inspire yourself first, and then others second. If you’re in a leadership position or hoping to get to the next level",Google Books,2026-08-30
The Non-Obvious Guide to Emotional Intelligence (You Can Actually Use),Kerry Goyette,IdeaPress Publishing,2019,2,1,0,Uncategorised,,goleman,Business & Economics,9781940858913,http://books.google.com/books?id=hlVmxAEACAAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"""Like having coffee with an expert""--Cover.",Google Books,2026-08-30
The Handbook of Communication Skills,Owen Hargie,Psychology Press,1997,2,3,526,Communication,communication,none,Language Arts & Disciplines,9780415123266,http://books.google.com/books?id=IVSxsljxndsC&dq=interpersonal+skills+professional&hl=&as_pt=BOOKS&source=gbs_api,This fully revised 2nd ed. is intended as a comprehensive volume on the subject of psychology & has contributions from world leaders in their particular fields. It will be of interest to a wide range of people including researchers & students.,Google Books,2026-08-30
Effective Communication Skills for Health Professionals,Philip Burnard,Nelson Thornes,1997,1,1,286,Communication,communication|listening|presentation,none,Medical,9780748733125,http://books.google.com/books?id=QsyOBNdxzi4C&dq=interpersonal+skills+professional&hl=&as_pt=BOOKS&source=gbs_api,"This work discusses strategies for teaching, presentation, computing, listening, management and interview skills within each area.",Google Books,2026-08-30
Developmental Evaluation,Michael Quinn Patton,Guilford Press,2010,1,1,399,Uncategorised,,none,Psychology,9781609180911,https://play.google.com/store/books/details?id=cd8yAAAAQBAJ&source=gbs_api,"Developmental evaluation (DE) offers a powerful approach to monitoring and supporting social innovations by working in partnership with program decision makers. In this book, eminent authority Michael Quinn Patton shows how to conduct evaluations within a DE framework. Patton draws on insights about complex dynamic systems, uncertainty, nonlinearity, and emergence. He illustrates how DE can be used for a range of purposes: ongoing program development, adapting effective principles of practice to",Google Books,2026-08-30
We Can Work It Out,Marshall B. Rosenberg,PuddleDancer Press,2004,1,1,54,Uncategorised,,none,Family & Relationships,9781892005120,http://books.google.com/books?id=p4fIAwAAQBAJ&dq=conflict+resolution+communication&hl=&as_pt=BOOKS&source=gbs_api,"Practical suggestions are included on how to foster caring, genuine cooperation, and satisfying resolutions.",Google Books,2026-08-30
Emotional Intelligence,Annamaria Di Fabio,BoD – Books on Demand,2012,,,304,Uncategorised,,goleman,Psychology,9789533078380,http://books.google.com/books?id=LS2RDwAAQBAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Emotional intelligence is an emerging construct for applied research and possible interventions, both in scholastic, academic and educational contexts, organizational contexts, as well as at an individual level in terms of people's well-being and life satisfaction. From the presented contributions, it emerges how this volume is characterized by an interest to give an international overview rich of stimuli and perspectives for research and intervention, in relation to a promising variable of curr",Google Books,2026-08-30
Emotional Intelligence,MTD Training,Bookboon,2002,,,59,Uncategorised,,goleman,,9788776816001,http://books.google.com/books?id=_39nHz4sPjsC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Emotional Intelligence. Meaning and Significance for Individuals and Collectives,Nicolai Kasper,GRIN Verlag,2021,,,21,Self-Management,adaptability,goleman,Psychology,9783346555458,https://play.google.com/store/books/details?id=EshUEAAAQBAJ&source=gbs_api,"Essay from the year 2020 in the subject Psychology - Work, Business, Organisation, grade: 1,0, University of Applied Sciences Essen, language: English, abstract: This paper aims at clarifying the concept of emotional intelligence and verifying its importance in the context of change for an individual as well as an organization or company. Given the outlook of Oosthoizen and Harari adaptability to change will be one of the key challenges in the 21st Century. The objective of this paper is to prov",Google Books,2026-08-30
Emotional Intelligence,Gill Hasson,John Wiley & Sons,2024,,,229,Professional Effectiveness,productivity|career,goleman,Self-Help,9781907312670,https://play.google.com/store/books/details?id=G3kvEQAAQBAJ&source=gbs_api,"Transform the way you see the world and the way the world sees you by effectively managing your emotions The happiest and most fulfilled people are not always the cleverest or most talented, skilled, or educated among us. Instead, those who can effectively manage feelings—their own and those of the people around them—frequently wear that crown. And now more than ever, emotional intelligence is the trait you need to develop to unlock your true potential. In the newly revised second edition of Emo",Google Books,2026-08-30
The Language of Emotional Intelligence,Jeanne Segal,McGraw Hill Professional,2008,,,237,Communication,communication|nonverbal,goleman,Business & Economics,9780071544566,https://play.google.com/store/books/details?id=wOefbfeiIfcC&source=gbs_api,"Learn how to increase your emotional intelligence with five simple tools It's no secret that emotional intelligence plays a crucial role in your relationships. But how do you apply these specialized skills in everyday life? It's easy--with this practical, ready-to-use guide by a renowned expert in the field of emotional intelligence and communication. Using the latest research and true-to-life examples, Dr. Jeanne Segal's step-by-step program shows you how to incorporate the five basic tools of ",Google Books,2026-08-30
Emotional Intelligence: The Emotional Intelligence Book - Emotional Intelligence at Work and Emotional Intelligence Leadership,John C. Allen,Editorial Imagen LLC,2017,,,58,Self-Awareness,self-awareness,goleman,Psychology,9781630227234,https://play.google.com/store/books/details?id=O_FwDwAAQBAJ&source=gbs_api,"Emotional Intelligence: The Emotional Intelligence Book -- Emotional Intelligence at Work and Emotional Intelligence Leadership This Emotional Intelligence Book will answer the question: what is emotional intelligence (also referred to as EI.) As the book works to define emotional intelligence through the four main branches, it dives deeper into explaining each branch in hopes of bringing about a higher self-awareness in the reader. Most people walk around with low emotional intelligence out of ",Google Books,2026-08-30
Emotional Intelligence Habits,Travis Bradberry,TalentSmart,2023,,,265,Self-Management,motivation|self-control|willpower|habits,goleman,Self-Help,9780974719382,https://play.google.com/store/books/details?id=4EPJEAAAQBAJ&source=gbs_api,"Change your habits, change your life. A powerful new way to increase your emotional intelligence. Emotional Intelligence Habits is a groundbreaking new book from Dr. Travis Bradberry, author of the bestselling Emotional Intelligence 2.0 that has sold millions of copies worldwide. In Emotional Intelligence Habits, Dr. Bradberry, the world’s foremost expert on EQ, offers an abundance of practical strategies that will teach you how to form good habits, break bad ones, and master the micro behaviors",Google Books,2026-08-30
Emotional Intelligence @ Work,Jolyon Maddocks,Jca Occupational Psychologists,2015,,,333,Professional Effectiveness,performance|focus,goleman,Emotional intelligence,9780992808907,http://books.google.com/books?id=yp6eoAEACAAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Making change stick can be difficult. All too often, following developmental coaching or inspirational training the individual will gradually revert back to their old ways of feeling, thinking and behaving. Emotional Intelligence @ Work explains how to make change sustainable by addressing the underlying attitudes that underpin a person's thinking and feeling that then drive their behaviour, habits and performance. Other approaches to Emotional Intelligence (EI) focus on personality traits and i",Google Books,2026-08-30
