title,author,age_range,book_type,audience,casel_domain,problem_tags,source
Ouch Moments: When Words Are Used in Hurtful Ways,Michael Genhart,6-8,children_fiction,"children,educators",Social-Awareness,"bullying,empathy",Magination Press
Visiting Feelings,Lauren Rubenstein,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,mindfulness",Magination Press
Bee Still: An Invitation to Meditation,Frank J. Sileo,6-8,children_fiction,"children,educators",Self-Management,"mindfulness,anxiety",Magination Press
A World of Pausabilities,Frank J. Sileo,6-8,children_fiction,"children,educators",Self-Management,mindfulness,Magination Press
Something Happened In Our Town,Marianne Celano et al.,6-8,children_fiction,"children,educators",Social-Awareness,"diversity,inclusion,empathy",Magination Press
Danny and the Blue Cloud,James M. Foley,6-9,children_fiction,"children,educators",Self-Management,sadness,Magination Press
Grow Happy,Jon Lasser & Sage Foster-Lasser,6-8,children_fiction,"children,educators",Social-Awareness,"gratitude,resilience",Magination Press
Grow Grateful,Sage Foster-Lasser & Jon Lasser,6-8,children_fiction,"children,educators",Social-Awareness,gratitude,Magination Press
"Stand Tall, Molly Lou Melon",Patty Lovell,6-8,children_fiction,children,Self-Awareness,"self-esteem,bullying,confidence",Goodreads
The Most Magnificent Thing,Ashley Spires,6-8,children_fiction,children,Self-Management,"perfectionism,growth-mindset,resilience",Goodreads
I Like Myself!,Karen Beaumont,6-8,children_fiction,children,Self-Awareness,"self-esteem,self-acceptance",Goodreads
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,6-9,children_fiction,children,Self-Awareness,"emotions,resilience",Goodreads
The Huge Bag of Worries,Virginia Ironside,6-8,children_fiction,children,Self-Management,anxiety,Goodreads
What Do You Do With a Problem?,Kobi Yamada,6-9,children_fiction,children,Self-Management,"resilience,growth-mindset",Goodreads
Sometimes I'm Bombaloo,Rachel Vail,6-8,children_fiction,children,Self-Management,"anger,impulse-control",Goodreads
Friendship is Like a Seesaw,Shona Innes,6-9,children_fiction,children,Relationship-Skills,"friendship,conflict",Goodreads
Do Unto Otters: A Book About Manners,Laurie Keller,6-8,children_fiction,children,Relationship-Skills,"social-skills,kindness",Goodreads
The Hating Book,Charlotte Zolotow,6-8,children_fiction,children,Relationship-Skills,"friendship,conflict,communication",Goodreads
The Colors of Us,Karen Katz,6-8,children_fiction,children,Social-Awareness,"diversity,inclusion,identity",Goodreads
Zach Gets Frustrated,William Mulcahy,6-8,children_fiction,children,Self-Management,"anger,emotions",Goodreads
Ruby's Worry,Tom Percival,6-8,children_fiction,"children,educators",Self-Management,anxiety,TeachingExpertise
The Proudest Blue,Ibtihaj Muhammad,6-9,children_fiction,"children,educators",Self-Awareness,"identity,diversity,self-esteem",TeachingExpertise
The Boy At the Back of the Class,Onjali Rauf,8-12,children_fiction,"children,educators",Social-Awareness,"empathy,diversity,inclusion",TeachingExpertise
Have You Filled a Bucket Today?,Carol McCloud,6-9,children_fiction,"children,educators",Social-Awareness,"kindness,social-skills",TeachingExpertise
The Boy Who Made the World Disappear,Ben Miller,6-9,children_fiction,"children,educators",Self-Management,"anger,impulse-control",TeachingExpertise
Train Your Angry Dragon,Steve Herman,6-9,children_fiction,"children,educators",Self-Management,anger,TeachingExpertise
Teach Your Dragon to Make Friends,Steve Herman,6-9,children_fiction,"children,educators",Relationship-Skills,"friendship,social-skills",TeachingExpertise
My Body Sends a Signal,Natalia Maguire,6-9,children_fiction,"children,educators",Self-Awareness,"emotional-literacy,emotions",TeachingExpertise
Kindness is my Superpower,Alicia Ortego,6-8,children_fiction,"children,educators",Social-Awareness,"kindness,empathy",TeachingExpertise
Enemy Pie,Derek Munson,6-9,children_fiction,"children,educators",Relationship-Skills,"conflict,friendship,empathy",TeachingExpertise
The Way I Feel,Janan Cain,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",TeachingExpertise
"The Boy with Big, Big Feelings",Britney Winn Lee,6-8,children_fiction,"children,educators",Self-Management,"anxiety,emotions,emotional-literacy",TeachingExpertise
The Crayons' Book of Feelings,Drew Daywalt,6-8,children_fiction,"children,educators",Self-Awareness,"emotions,emotional-literacy",TeachingExpertise
Be Brave,Poppy O'Neill,6-9,children_nonfiction,"children,educators",Self-Management,"anxiety,confidence",TeachingExpertise
Listen Like an Elephant,Kira Willey,6-8,children_fiction,"children,educators",Self-Management,"mindfulness,communication",TeachingExpertise
Interrupting Chicken,David Ezra Stein,6-8,children_fiction,"children,educators",Self-Management,"impulse-control,communication",TeachingExpertise
Say Something,Peter H. Reynolds,6-9,children_fiction,"children,educators",Self-Awareness,"confidence,bullying",TeachingExpertise
The Gray,Chris Baron,9-12,children_fiction,children,Self-Management,"anxiety,bullying,resilience",MacKids
Friends Forever,Shannon Hale,9-12,children_fiction,children,Relationship-Skills,"friendship,self-acceptance,identity",MacKids
Maybe It's a Sign,E. L. Shen,9-12,children_fiction,children,Self-Management,"grief,loss,self-acceptance",MacKids
Weirdo,Tony Weaver Jr.,9-12,children_fiction,children,Social-Awareness,"bullying,identity,confidence",MacKids
Frizzy,Claribel A. Ortega,9-12,children_fiction,children,Self-Awareness,"self-acceptance,identity,diversity",MacKids
Uprooted,Ruth Chan,9-12,children_fiction,children,Self-Management,"moving,identity,friendship",MacKids
The Worst Day of My Life Ever!,Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,responsibility,social-skills",Free Spirit Publishing
I Just Don't Like the Sound of No!,Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,anger",Free Spirit Publishing
"Sorry, I Forgot to Ask!",Julia Cook,6-9,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,communication",Free Spirit Publishing
"Teamwork Isn't My Thing, and I Don't Like to Share!",Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"cooperation,sharing",Free Spirit Publishing
I Just Want to Do It My Way!,Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,cooperation",Free Spirit Publishing
Thanks for the Feedback...(I Think!),Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"resilience,growth-mindset,emotions",Free Spirit Publishing
I Can't Believe You Said That!,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"communication,impulse-control",Free Spirit Publishing
Making Friends Is an Art!,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"friendship,social-skills",Free Spirit Publishing
Cliques Just Don't Make Cents,Julia Cook,6-10,children_fiction,"children,educators",Relationship-Skills,"friendship,inclusion,social-skills",Free Spirit Publishing
Peer Pressure Gauge,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"peer-pressure,choices,responsibility",Free Spirit Publishing
Hygiene...You Stink!,Julia Cook,6-10,children_fiction,"children,educators",Relationship-Skills,"social-skills,self-esteem",Free Spirit Publishing
I Want to Be the Only Dog,Julia Cook,6-8,children_fiction,"children,educators",Relationship-Skills,"new-sibling,sharing,cooperation",Free Spirit Publishing
Table Talk,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"social-skills,communication,manners",Free Spirit Publishing
The Judgmental Flower,Julia Cook,6-9,children_fiction,"children,educators",Social-Awareness,"empathy,perspective-taking,diversity",Free Spirit Publishing
Rumor Has It,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"honesty,communication,friendship",Free Spirit Publishing
"Well, I Can Top That",Julia Cook,6-9,children_fiction,"children,educators",Self-Management,"impulse-control,communication,social-skills",Free Spirit Publishing
Decibella and Her 6-Inch Voice,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"communication,impulse-control",Free Spirit Publishing
Gas Happens!,Julia Cook,6-9,children_fiction,"children,educators",Relationship-Skills,"social-skills,self-esteem",Free Spirit Publishing
Technology Tail,Julia Cook,6-10,children_fiction,"children,educators",Responsible-Decision-Making,"technology,responsibility,communication",Free Spirit Publishing
But It's Not My Fault!,Julia Cook,6-10,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
Battitude!,Julia Cook,6-10,children_fiction,"children,educators",Self-Management,"anger,resilience,growth-mindset",Free Spirit Publishing
But That Rule Doesn't Apply to Me,Julia Cook,6-10,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
Cheaters Never Prosper,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"honesty,choices,integrity",Free Spirit Publishing
The Procrastinator,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,organization,stress",Free Spirit Publishing
What's in It for Me?,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"responsibility,kindness,choices",Free Spirit Publishing
"Herman Jiggle, Say Hello!",Julia Cook,6-8,children_fiction,"children,educators",Relationship-Skills,"social-skills,friendship,anxiety",Free Spirit Publishing
"Herman Jiggle, Go to Sleep",Julia Cook,6-8,children_fiction,"children,educators",Self-Management,"anxiety,fear",Free Spirit Publishing
It's My Way or the Highway,Julia Cook,8-12,children_fiction,"children,educators",Relationship-Skills,"cooperation,conflict,impulse-control",Free Spirit Publishing
The Great Compromise,Julia Cook,8-12,children_fiction,"children,educators",Relationship-Skills,"cooperation,conflict,communication",Free Spirit Publishing
The I in Integrity,Julia Cook,8-12,children_fiction,"children,educators",Responsible-Decision-Making,"integrity,honesty,responsibility",Free Spirit Publishing
Cool Down and Work Through Anger,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Management,"anger,impulse-control",Free Spirit Publishing
Accept and Value Each Person,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Social-Awareness,"diversity,inclusion,empathy",Free Spirit Publishing
Be Honest and Tell the Truth,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Responsible-Decision-Making,honesty,Free Spirit Publishing
Reach Out and Give,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Social-Awareness,"kindness,empathy",Free Spirit Publishing
When I Feel Afraid,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Management,"fear,anxiety",Free Spirit Publishing
Understand and Care,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Social-Awareness,"empathy,perspective-taking",Free Spirit Publishing
Try and Stick With It,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Management,"resilience,growth-mindset",Free Spirit Publishing
Talk and Work It Out,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Relationship-Skills,"conflict,communication",Free Spirit Publishing
Share and Take Turns,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Relationship-Skills,"sharing,cooperation",Free Spirit Publishing
Respect and Take Care of Things,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Responsible-Decision-Making,responsibility,Free Spirit Publishing
Listen and Learn,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Relationship-Skills,"communication,social-skills",Free Spirit Publishing
Know and Follow Rules,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
Join In and Play,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Relationship-Skills,"friendship,social-skills",Free Spirit Publishing
Be Polite and Kind,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Social-Awareness,"kindness,manners,social-skills",Free Spirit Publishing
Be Careful and Stay Safe,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
How to Take the Grrrr Out of Anger,Elizabeth Verdick & Marjorie Lisovskis,9-12,children_nonfiction,"children,educators",Self-Management,"anger,impulse-control",Free Spirit Publishing
Bullies Are a Pain in the Brain,Trevor Romain,9-12,children_nonfiction,"children,educators",Social-Awareness,"bullying,resilience",Free Spirit Publishing
"Cliques, Phonies & Other Baloney",Trevor Romain,9-12,children_nonfiction,"children,educators",Relationship-Skills,"friendship,social-skills,bullying",Free Spirit Publishing
Stress Can Really Get on Your Nerves,Trevor Romain & Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Self-Management,"stress,resilience",Free Spirit Publishing
How to Do Homework Without Throwing Up,Trevor Romain,9-12,children_nonfiction,"children,educators",Self-Management,"school-anxiety,stress,organization",Free Spirit Publishing
"Dude, That's Rude! (Get Some Manners)",Elizabeth Verdick & Natasha Lewin,9-12,children_nonfiction,"children,educators",Relationship-Skills,"manners,social-skills,communication",Free Spirit Publishing
Don't Behave Like You Live in a Cave,Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Relationship-Skills,"social-skills,communication,manners",Free Spirit Publishing
"Siblings: You're Stuck with Each Other, So Stick Together",James Crist & Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Relationship-Skills,"siblings,conflict,communication",Free Spirit Publishing
Stand Up to Bullying!,Phyllis Kaufman Goodstein & Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Social-Awareness,"bullying,empathy,choices",Free Spirit Publishing
"See You Later, Procrastinator! (Get It Done)",Pamela Espeland & Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Responsible-Decision-Making,"responsibility,organization,stress",Free Spirit Publishing
Get Organized Without Losing It,Janet S. Fox & Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Self-Management,"organization,responsibility",Free Spirit Publishing
How to Take the ACHE Out of Mistakes,Elizabeth Verdick & Marjorie Lisovskis,9-12,children_nonfiction,"children,educators",Self-Management,"perfectionism,resilience,growth-mindset",Free Spirit Publishing
How to Take the GROAN Out of Grown-Ups (and Get Along!),Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Relationship-Skills,"communication,conflict",Free Spirit Publishing
You Got a Phone! (Now Read This Book),Elizabeth Verdick,9-12,children_nonfiction,"children,educators",Responsible-Decision-Making,"technology,responsibility,communication",Free Spirit Publishing
Yay! You Failed!,Shannon Anderson,6-9,children_nonfiction,"children,educators",Self-Management,"resilience,growth-mindset,perfectionism",Free Spirit Publishing
Ease the Tease,Judy S. Freedman,6-9,children_nonfiction,"children,educators",Social-Awareness,"bullying,social-skills,resilience",Free Spirit Publishing
"Make a Friend, Be a Friend",Eric Braun,6-9,children_nonfiction,"children,educators",Relationship-Skills,"friendship,social-skills",Free Spirit Publishing
Rules! Rules! Rules!,Eric Braun,6-9,children_nonfiction,"children,educators",Responsible-Decision-Making,"responsibility,choices",Free Spirit Publishing
"Be Yourself, Like Yourself",Judy S. Freedman,6-9,children_nonfiction,"children,educators",Self-Awareness,"self-acceptance,self-esteem,confidence",Free Spirit Publishing
"Hi, Worry. Bye, Worry!",Shannon Anderson,6-9,children_nonfiction,"children,educators",Self-Management,"anxiety,resilience",Free Spirit Publishing
Weird!,Erin Frankel,6-9,children_fiction,"children,educators",Social-Awareness,"bullying,self-acceptance",Free Spirit Publishing
Dare!,Erin Frankel,6-9,children_fiction,"children,educators",Social-Awareness,"bullying,self-esteem,empathy",Free Spirit Publishing
Tough!,Erin Frankel,6-9,children_fiction,"children,educators",Social-Awareness,"bullying,empathy,perspective-taking",Free Spirit Publishing
Be Positive!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Awareness,"optimism,growth-mindset,resilience",Free Spirit Publishing
Bounce Back!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Management,"resilience,growth-mindset",Free Spirit Publishing
Dream On!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Awareness,"confidence,growth-mindset",Free Spirit Publishing
Feel Confident!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Awareness,"confidence,self-esteem",Free Spirit Publishing
Forgive and Let Go!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Social-Awareness,"forgiveness,anger,conflict",Free Spirit Publishing
Grow Strong!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Management,"resilience,self-esteem",Free Spirit Publishing
Have Courage!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Awareness,"courage,fear,confidence",Free Spirit Publishing
Stand Tall!,Cheri J. Meiners,6-8,children_nonfiction,"children,educators",Self-Awareness,"self-esteem,confidence,bullying",Free Spirit Publishing
Feeling Angry!,Kay Barnham,6-8,children_nonfiction,"children,educators",Self-Management,"anger,emotions,impulse-control",Free Spirit Publishing
Feeling Scared!,Kay Barnham,6-8,children_nonfiction,"children,educators",Self-Management,"fear,anxiety",Free Spirit Publishing
Feeling Jealous!,Kay Barnham,6-8,children_nonfiction,"children,educators",Self-Management,"jealousy,emotions",Free Spirit Publishing
Feeling Sad!,Kay Barnham,6-8,children_nonfiction,"children,educators",Self-Management,"sadness,emotions",Free Spirit Publishing
Feeling Shy!,Kay Barnham,6-8,children_nonfiction,"children,educators",Self-Management,"anxiety,social-skills",Free Spirit Publishing
Feeling Worried!,Kay Barnham,6-8,children_nonfiction,"children,educators",Self-Management,"anxiety,stress",Free Spirit Publishing
Get Unstuck from Disappointment,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"disappointment,resilience,growth-mindset",Free Spirit Publishing
Say Hi When You're Shy,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"anxiety,social-skills,confidence",Free Spirit Publishing
Take Charge of Anger,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"anger,impulse-control",Free Spirit Publishing
Step Back from Frustration,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"frustration,impulse-control,anger",Free Spirit Publishing
Turn Away from Teasing,Gill Hasson,6-9,children_nonfiction,"children,educators",Social-Awareness,"bullying,resilience,self-esteem",Free Spirit Publishing
Face Your Fears,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"fear,anxiety,courage",Free Spirit Publishing
Let Go of Jealousy,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"jealousy,emotions,conflict",Free Spirit Publishing
Put Your Worries Away,Gill Hasson,6-9,children_nonfiction,"children,educators",Self-Management,"anxiety,resilience",Free Spirit Publishing
Middle School Confidential 1: Be Confident in Who You Are,Annie Fox,9-12,children_fiction,"children,educators",Self-Awareness,"confidence,self-esteem,identity",Free Spirit Publishing
Middle School Confidential 2: Real Friends vs. the Other Kind,Annie Fox,9-12,children_fiction,"children,educators",Relationship-Skills,"friendship,social-skills,bullying",Free Spirit Publishing
Middle School Confidential 3: What's Up with My Family?,Annie Fox,9-12,children_fiction,"children,educators",Relationship-Skills,"conflict,communication,divorce",Free Spirit Publishing
Zach Makes Mistakes,William Mulcahy,6-8,children_fiction,"children,educators",Self-Management,"perfectionism,resilience,growth-mindset",Free Spirit Publishing
Zach Hangs In There,William Mulcahy,6-8,children_fiction,"children,educators",Self-Management,"resilience,growth-mindset",Free Spirit Publishing
