title,author,age_range,book_type,audience,casel_domain,problem_tags,source,isbn,description,cover_url,rating,ratings_count,goodreads_rating,goodreads_ratings_count,goodreads_url,amazon_url
Argyle Fox,Marie Letourneau,6-8,children_fiction,children,Self-Management,"resilience,growth-mindset",WeAreTeachers,9781939100108,"Argyle Fox, with his signature style, wants to play outside on a springtime day, but the wind is wreaking havoc with his fun and games. As soon as he builds a card tower, climbs into a giant spider web, or takes up his pirate sword, here comes the wind: Woosh! Mama Fox tells grumpy Argyle that if he thinks long enough, he will come up with something to do. Following his mother's suggestion and…",https://books.google.com/books/content?id=BY4pDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781939100108
A Small Kindness,Stacy McAnulty,6-8,children_fiction,children,Social-Awareness,"kindness,empathy",WeAreTeachers,9780762495238,"Teach the importance of goodwill with this impactful picture book with a solid pay-it-forward message to encourage kindness in young children—from the award-winning author of Excellent Ed and Sun! One In a Billion. It was like a game of tag, with one small act of kindness spreading throughout a small community of kids and teachers alike. Award-winning children's book author Stacy McAnulty packs a…",https://books.google.com/books/content?id=PCHqDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780762495238
Evelyn Del Rey Is Moving Away,Meg Medina,6-8,children_fiction,children,Self-Management,"moving,friendship,loss",WeAreTeachers,9781536207040,The 2020 Jumpstart Read for the Record Selection (2.24 million readers) * An American Library Association Notable Children’s Book * A Publisher’s Weekly Best Children’s Book of the Year * A Kirkus Reviews Best Picture Book of the Year * A School Library Journal Best Book of the Year From Newbery Medalist and New York Times best-selling author Meg Medina comes the bittersweet story of two girls…,https://books.google.com/books/content?id=cePbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781536207040
The Circles in the Sky,Karl James Mountford,6-9,children_fiction,children,Self-Management,"grief,loss",WeAreTeachers,9781529515060,,https://books.google.com/books/content?id=G9-izwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781529515060
Big Feelings,Alexandra Penfold,6-8,children_fiction,children,Self-Awareness,"emotions,emotional-literacy,resilience",WeAreTeachers,9780525579762,"The newest picture book from the creators of All Are Welcome to help children navigate BIG FEELINGS! In their bestselling picture book All Are Welcome, Alexandra Penfold and Suzanne Kaufman celebrate kindness, inclusivity, and diversity. Now with Big Feelings, they help children navigate the emotional challenges they face in their daily lives. What should we do when things don't go to plan? We…",https://books.google.com/books/content?id=StDtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780525579762
Cranky Right Now,Julie Berry,6-8,children_fiction,children,Self-Management,"anger,emotions",WeAreTeachers,9781683646655,"Sometimes we’re all cranky, and that’s okay! Cranky Right Now shows kids how to deal with those cranky days. Cranky Right Now brings a much-needed message to kids: sometimes we’re all cranky. Maybe we’re tired, we’re hungry, or we’re just feeling grumpy. Dealing with emotions can be hard. Cranky Right Now is a fun and funny ride through the ups and downs of being cranky, helping kids process…",https://books.google.com/books/content?id=tZOvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781683646655
Ruthie and the (Not So) Teeny Tiny Lie,Laura Rankin,6-8,children_fiction,children,Responsible-Decision-Making,honesty,WeAreTeachers,9780545080682,"Ruthie loves tiny things and when she finds a tiny camera on the playground she is very happy, but after she lies and says the camera belongs to her, nothing seems to go right.",https://books.google.com/books/content?id=wl36JQafdPMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780545080682
Stop and Smell the Cookies,Gibson Frazier,6-8,children_fiction,children,Self-Management,"impulse-control,mindfulness",WeAreTeachers,9780525517146,"A picture book about a rambunctious boy who learns to manage his big feelings. Sometimes Dash gets so excited that his chest feels warm and fuzzy, his toes dance, and his fingertips tickle the air. When that starts, he can’t seem to control what he does next, and often, trouble follows. Luckily, with a little help, Dash finds a way to slow himself down when big feelings threaten to take over.…",https://books.google.com/books/content?id=gkN2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780525517146
My Mouth Is a Volcano!,Julia Cook,6-9,children_fiction,children,Self-Management,"impulse-control,communication",WeAreTeachers,9781484438602,"This story provides parents, teachers, and counselors with an entertaining way to teach children the value of respecting others by listening and waiting for their turn to speak.",https://books.google.com/books/content?id=jnqBzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781484438602
You Will Be My Friend!,Peter Brown,6-8,children_fiction,children,Relationship-Skills,"friendship,social-skills",WeAreTeachers,9781549127601,"Lucy, a young bear, starts her day determined to make a new friend but her enthusiasm leads to all sorts of problems until, just as she is about to give up, an unexpected friend finds her.",https://books.google.com/books/content?id=sGgLyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781549127601
The Rough Patch,Brian Lies,6-9,children_fiction,children,Self-Management,"grief,resilience",WeAreTeachers,9780062671271,"A Caldecott Honor Book An ALA Notable Book A breathtakingly beautiful and luminescent book that is pitch-perfect for anyone of any age who has experienced any type of loss or disappointment, from New York Times–bestselling picture book creator Brian Lies. New York Times–bestselling author-illustrator Brian Lies has created a beautiful, accessible, and deeply personal story about friendship, loss,…",https://books.google.com/books/content?id=wgm2swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780062671271
The Drama Llama,Rachel Morrisroe,6-8,children_fiction,children,Self-Management,"anxiety,social-skills",WeAreTeachers,9781728283142,"One day a WORRY comes to stay and simply will not go away! ""Whenever he was worried or whenever there was drama, Alex Allen's brain produced . . . A living breathing Llama!"" Alex Allen, like lots of children, sometimes worries about things—like dancing badly or getting an answer wrong in class. But unlike lots of children, every time he worries a real-life llama appears! And the more Alex…",https://books.google.com/books/content?id=KFS2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781728283142
Finding Grateful,Dianne White,6-8,children_fiction,children,Social-Awareness,"gratitude,mindfulness",WeAreTeachers,9781797220536,"""This sweet, soft focus meditation on being gratefully present is a relaxing read-aloud for both parent and child."" —The New York Times A heartfelt picture book that celebrates embracing the moment and finding gratitude right here, right now. What does grateful look like? How does it feel? How do you find it? Even in the face of a challenge, you don’t need a map: You just need to pay attention to…",https://books.google.com/books/content?id=h4zPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781797220536
The Rabbit Listened,Cori Doerrfeld,6-8,children_fiction,children,Self-Management,"grief,empathy,emotions",WeAreTeachers,9780735229358,"NEW YORK TIMES BESTSELLER • A moving and universal picture book about the power of listening to show empathy and kindness, sure to soothe heartaches big and small. ONE OF THE BEST CHILDREN’S BOOKS OF THE YEAR: The New York Times Book Review, Time, The Wall Street Journal, New York Public Library, Chicago Public Library, Kirkus Reviews, Publishers Weekly When something sad happens, Taylor doesn't…",https://books.google.com/books/content?id=gYtIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780735229358
A Sick Day for Amos McGee,Philip C. Stead,6-8,children_fiction,children,Relationship-Skills,"friendship,kindness,empathy",WeAreTeachers,9781626721050,"A sumptuous new gift edition of the Caldecott Medal winning classic, which includes a cloth-bound slipcase and book. THE BEST SICK DAY EVER and the animals in the zoo feature in this striking picture book debut. Friends come in all sorts of shapes and sizes. In Amos McGee's case, all sorts of species, too! Every day he spends a little bit of time with each of his friends at the zoo, running races…",https://books.google.com/books/content?id=Hh_GwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781626721050
Silver Linings,Fiona Woodcock,6-8,children_fiction,children,Self-Management,"resilience,empathy",WeAreTeachers,9780062995902,,https://books.google.com/books/content?id=9iIuzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780062995902
Lola and the Troll,Connie Schultz,6-9,children_fiction,children,Social-Awareness,"bullying,self-esteem",WeAreTeachers,9780593527658,"A debut picture book by Pulitzer Prize winning journalist and New York Times bestselling author Connie Schultz, about a young girl named Lola who decides to be brave and stand up to a bully. Lola is a happy kid who loves recess and her imaginary dog, Tank. There’s just one problem: the neighborhood bully. He hides behind a troll costume and says mean things to everyone who walks by, including…",https://books.google.com/books/content?id=ise9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780593527658
Daisy,Jessixa Bagley,6-8,children_fiction,children,Social-Awareness,"bullying,self-esteem",WeAreTeachers,9780823446506,"When Daisy the warthog's classmates tease her, she finds comfort collecting lost and forgotten things. She knows they're special - and soon she meets a friend who knows it too. ""Daisies seem so simple on the surface, but when you look closely you see their hidden beauty."" That's what Daisy the warthog's mom always says, and it's the reason she got her name. But when Daisy goes to school, she…",https://books.google.com/books/content?id=BhkSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780823446506
Rulers of the Playground,Joseph Kuefler,6-8,children_fiction,children,Relationship-Skills,"friendship,social-skills,conflict",WeAreTeachers,9780062424327,"A stunning picture book about sharing, friendship, and kindness in a playground setting from Joseph Kuefler, the author/illustrator of Beyond the Pond. Perfect for fans of Jon Klassen and Oliver Jeffers. One morning, Jonah decided to become ruler of the playground. Everyone agreed to obey his rules to play in King Jonah’s kingdom . . . Everyone except for Lennox . . . because she wanted to rule…",https://books.google.com/books/content?id=voi6DAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780062424327
A Friend for Henry,Jenn Bailey,6-8,children_fiction,children,Relationship-Skills,"friendship,inclusion,diversity",WeAreTeachers,9781452168296,"In Classroom Six, second left down the hall, Henry has been on the lookout for a friend. A friend who shares. A friend who listens. Maybe even a friend who likes things to stay the same and all in order, as Henry does. But on a day full of too close and too loud, when nothing seems to go right, will Henry ever find a friend—or will a friend find him? With insight and warmth, this heartfelt story…",https://books.google.com/books/content?id=GV5xDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781452168296
Milo Imagines the World,Matt de la Peña,6-9,children_fiction,children,Social-Awareness,"empathy,perspective-taking",WeAreTeachers,9780399549090,"The team behind the Newbery Medal winner and Caldecott Honor book Last Stop on Market Street and the award-winning New York Times bestseller Carmela Full of Wishes once again delivers a poignant and timely picture book that's sure to become an instant classic. Milo is on a long subway ride with his older sister. To pass the time, he studies the faces around him and makes pictures of their lives.…",https://books.google.com/books/content?id=3AzhDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4,1,,,,https://www.amazon.com/s?k=9780399549090
I Am a Thundercloud,Leah Moser,6-8,children_fiction,children,Self-Management,"anger,emotions,emotional-literacy",WeAreTeachers,9780762484690,"Big feelings are hard to manage, especially when you’re a small person trying to understand yourself and the world. For those confusing stormy days, I Am a Thundercloud helps readers relate to their feelings through the sounds, sensations and colors of nature, making them feel comfortable and lighter. Having emotions, even angry ones, is a part of being human. In Leah Moser’s I Am a Thundercloud…",https://books.google.com/books/content?id=zmfPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780762484690
Be Kind,Pat Zietlow Miller,6-8,children_fiction,children,Social-Awareness,"kindness,empathy,inclusion",WeAreTeachers/MacKids,9781626723214,"A thoughtful picture book illustrating the power of small acts of kindness, from the award-winning author of Sophie's Squash.",https://books.google.com/books/content?id=ARNFDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781626723214
What to Do When You Worry Too Much: A Kid's Guide to Overcoming Anxiety,Dawn Huebner,6-12,children_nonfiction,"children,educators",Self-Management,anxiety,Child Mind Institute,9781433844898,"Can kids learn to shrink their worries? Yes—and this workbook shows them how! Worries can feel like weeds—once they start growing, they can take over everything. For kids, those worries can seem impossible to control. But with the right tools, they can learn to stop feeding their fears and start feeling calm and confident again. This updated edition of What to Do When You Worry Too Much is a…",https://books.google.com/books/content?id=wZxuEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781433844898
The Fix-It Friends: Have No Fear!,Nicole C. Kear,7-10,children_fiction,children,Self-Management,"anxiety,fear",Child Mind Institute,9781250115775,"Seven-year-old Veronica, who's good at solving problems, starts the Fix-It Friends after she and her brother and their friends help her new classmate get over her fear of spiders. Includes notes for children and their parents.",https://books.google.com/books/content?id=XAKgDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781250115775
How Big Are Your Worries Little Bear?,Jayneen Sanders,6-10,children_fiction,children,Self-Management,anxiety,Child Mind Institute,9781925089202,"Little Bear is a worrier. He worries about everything! But with Mama Bear's help, he soon learns his worries are not so big after all. Through this engaging story children will learn that everyday worries and fears can be overcome. Discussion questions and extra hints to help children manage anxiety are included.",https://books.google.com/books/content?id=vchvswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781925089202
Ruby Finds a Worry,Tom Percival,6-8,children_fiction,children,Self-Management,anxiety,Child Mind Institute,9781663635464,,https://books.google.com/books/content?id=94mwzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781663635464
Hattie Harmony: Worry Detective,Elizabeth Olsen & Robbie Arnett,6-8,children_fiction,children,Self-Management,"anxiety,school-anxiety",Child Mind Institute,9780593351451,"An instant #1 New York Times bestseller! Award-winning actress Elizabeth Olsen and esteemed musician Robbie Arnett have created a fresh approach to wellness in a new series that shows children ways to manage anxiety. A perfect back-to-school read! Meet Hattie Harmony, Worry Detective. She’s always there to help her friends when they need her. And the first day of school can cause a lot of…",https://books.google.com/books/content?id=3npQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780593351451
Don't Feed the WorryBug,Andi Green,6-8,children_fiction,children,Self-Management,anxiety,Child Mind Institute,9780979286070,"Meet Wince, The Monster of Worry, and his number one nemesis, the WorryBug! In this engaging follow-up to The Monster Who Couldn't Decide, Andi Green has created a whimsical adventure that brings another emotion to life. Join Wince as he discovers the secret to keeping his worries from getting monstrous. Using unique drawings and clever rhymes, Don't Feed The WorryBug carries an insightful…",,,,,,,https://www.amazon.com/s?k=9780979286070
Invisible Isabel,Sally J. Pla,8-12,children_fiction,children,Self-Management,"anxiety,school-anxiety",Child Mind Institute,9780063268869,"From award-winning author Sally J. Pla comes an illustrated middle grade novel about introverted Isabel Beane, who learns to speak up to quiet her worries. This thoughtful, earnest story is perfect for fans of Elana K. Arnold and Leslie Connor. Isabel Beane is a shy girl who lives in a home full of havoc and hubbub and hullabaloo. With five siblings, there is always too much too much-ness. At…",https://books.google.com/books/content?id=qjncEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780063268869
The Worry Monster,Dr. Catherine Cook-Cottone,6-8,children_fiction,children,Self-Management,anxiety,Child Mind Institute,9780593567937,"Give kids tools to calm their inner worry monster with this interactive, vibrantly illustrated book! Tried-and-true methods from a child pscyhologist will have little ones mindfully breathing, practicing gratitude, and gracefully surfing their worry waves. “We all have a worry monster, but Dr. Catherine Cook-Cottone teaches us how we can tame it with a bunch of strategies in her adorable The…",https://books.google.com/books/content?id=CfL4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780593567937
Cory Stories: A Kid's Book About Living With ADHD,Jeanne Kraus,6-11,children_fiction,children,Self-Management,adhd,Child Mind Institute,9781591471486,A young boy named Corey explains what it feels like to have attention-deficit hyperactivity disorder and how his parents and his doctor have helped him learn to adjust to it.,https://books.google.com/books/content?id=2QTaJgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,1,,,,https://www.amazon.com/s?k=9781591471486
That Always Happens Sometimes,Kiley Frank,6-8,children_fiction,children,Self-Management,adhd,Child Mind Institute,9781984852434,"Max is not exactly a perfect kid. From sunup through his school day and right until bedtime, he’s goofy, disorganized, and generally uncontainable—much to the frustration of those around him. But when a little enthusiasm and creativity are in order, you can count on Max to save the day! A BOOKLIST BEST BOOK OF THE YEAR Do you have a list of things to do every morning before school, but you…",https://books.google.com/books/content?id=VeziEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781984852434
Wonder,R.J. Palacio,8-12,children_fiction,children,Social-Awareness,"bullying,inclusion,empathy",Child Mind Institute,9781524720193,"Auggie Pullman, who was born with extreme facial abnormalities, goes from being home-schooled to entering fifth grade at a private middle school in Manhattan, which entails enduring the taunting and fear of his classmates.",https://books.google.com/books/content?id=p5ozDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4,6,,,,https://www.amazon.com/s?k=9781524720193
Tease Monster: A Book About Teasing vs. Bullying,Julia Cook,6-10,children_fiction,children,Social-Awareness,bullying,Child Mind Institute,9781934490471,"Part of the Building Relationships series by Julia Cook, this quirky tale teaches K-6 readers the difference between friendly teasing and mean teasing. Understanding the difference can help develop friendship skills and advance social emotional learning. Youngsters will learn how to react to both types of teasing -- when to laugh along with it, ignore it, or get help from a trusted adult when it…",https://books.google.com/books/content?id=IqcbBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781934490471
Am I a Bully?,Hope Gilchrist,6-9,children_fiction,children,Social-Awareness,bullying,Child Mind Institute,9781718839946,This book was written to bring awareness to bullying with young children. It helps explain the different ways bullying can be displayed. It also helps show that people can change their behavior at anytime.,,,,,,,https://www.amazon.com/s?k=9781718839946
Warp Speed,Lisa Yee,8-12,children_fiction,children,Social-Awareness,"bullying,resilience",Child Mind Institute,9780545543422,"Lisa Yee returns to her core strength in older middle-grade fiction and the characters that made her famous in this ""Diary of a Wimpy Trekkie."" Entering 7th grade is no big deal for Marley Sandelski: Same old boring classes, same old boring life. The only thing he has to look forward to is the upcoming Star Trek convention. But when he inadvertently draws the attention of Digger Ronster, the…",https://books.google.com/books/content?id=mh_Rh_TBr1YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780545543422
Chrysanthemum,Kevin Henkes,6-8,children_fiction,children,Social-Awareness,"bullying,self-esteem",Child Mind Institute,9780440848127,"Chrysanthemum loves her name, until she starts going to school and the other children make fun of it.",https://books.google.com/books/content?id=5lPDVQNIWDoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780440848127
I Miss You: A First Look at Death,Pat Thomas,6-8,children_nonfiction,"children,educators",Self-Management,"grief,loss",Child Mind Institute,9781438083896,"When a close friend or family member dies, it can be sad for kids and difficult for them to express the big feelings they are experiencing. This book will help explain in a gentle way that death is a natural complement to life and that grief and a sense of loss are normal feelings to have following the death of a loved one. Parents, teachers, and gift givers will find: language that is simple,…",https://books.google.com/books/content?id=W2pnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781438083896
The Invisible String,Patrice Karst,6-8,children_fiction,children,Self-Management,"grief,loss,anxiety",Child Mind Institute,9780316570879,"Parents, educators, therapists, and social workers alike have declared The Invisible String the perfect tool for coping with all kinds of separation anxiety, loss, and grief. In this relatable and reassuring contemporary classic, a mother tells her two children that they're all connected by an invisible string. ""That's impossible!"" the children insist, but still they want to know more: ""What kind…",https://books.google.com/books/content?id=l4K6zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780316570879
When Dinosaurs Die,Laurie Krasny Brown & Marc Brown,6-9,children_nonfiction,"children,educators",Self-Management,"grief,loss",Child Mind Institute,9780545055116,"Dinosaurs were the biggest, most powerful animals that ever walked the earth. Now they are all gone. How did they become extinct?--Cover p. [4].",,,,,,,https://www.amazon.com/s?k=9780545055116
One Wave at a Time,Holly Thompson,6-8,children_fiction,children,Self-Management,"grief,loss",Child Mind Institute,9781791104603,"After his father dies, Kai experiences all kinds of emotions: sadness, anger, fear, guilt. Sometimes they crash and mix together. Other times, there are no emotions at all—just flatness. As Kai and his family adjust to life without Dad, the waves still roll in. But with the help of friends and one another, they learn to cope—and, eventually, heal. A lyrical story about grieving for anyone…",https://books.google.com/books/content?id=Fci2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781791104603
Mr. Worry: A Story About OCD,Holly L. Niner,7-12,children_fiction,children,Self-Management,"anxiety,perfectionism",Child Mind Institute,9780807594728,"Kevin can't get to sleep at night until he does many things. He checks under his bed for a light he knows isn't there, and then, a minute later, he checks again. Kevin wants to stop, but the worry thoughts keep coming.",https://books.google.com/books/content?id=I043EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780807594728
Up and Down the Worry Hill,Aureen Pinto Wagner,7-10,children_nonfiction,"children,educators",Self-Management,"anxiety,perfectionism",Child Mind Institute,9780967734705,"Over one million children and adolescents in the US suffer from Obsessive-Compulsive Disorder (OCD), a baffling illness that can be debilitating for the child in school, with friends and family. Help is now available! Cognitive-Behavioral Therapy (CBT) is the gold standard of treatment for OCD, and offers youngsters and their families the path to mastery over OCD. In this uniquely creative and…",https://books.google.com/books/content?id=oaNlPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780967734705
