title,authors,publisher,year,rating,ratings_count,pages,domain,tags,framework_ref,categories,isbn,url,summary,source,collected_at
Developmental Evaluation,Michael Quinn Patton,Guilford Press,2010,1,1,399,Uncategorised,,none,Psychology,9781609180911,https://play.google.com/store/books/details?id=cd8yAAAAQBAJ&source=gbs_api,"Developmental evaluation (DE) offers a powerful approach to monitoring and supporting social innovations by working in partnership with program decision makers. In this book, eminent authority Michael Quinn Patton shows how to conduct evaluations within a DE framework. Patton draws on insights about complex dynamic systems, uncertainty, nonlinearity, and emergence. He illustrates how DE can be used for a range of purposes: ongoing program development, adapting effective principles of practice to",Google Books,2026-08-30
Emotional Intelligence,Annamaria Di Fabio,BoD – Books on Demand,2012,,,304,Uncategorised,,goleman,Psychology,9789533078380,http://books.google.com/books?id=LS2RDwAAQBAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Emotional intelligence is an emerging construct for applied research and possible interventions, both in scholastic, academic and educational contexts, organizational contexts, as well as at an individual level in terms of people's well-being and life satisfaction. From the presented contributions, it emerges how this volume is characterized by an interest to give an international overview rich of stimuli and perspectives for research and intervention, in relation to a promising variable of curr",Google Books,2026-08-30
Emotional Intelligence,MTD Training,Bookboon,2002,,,59,Uncategorised,,goleman,,9788776816001,http://books.google.com/books?id=_39nHz4sPjsC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Emotional Intelligence. Meaning and Significance for Individuals and Collectives,Nicolai Kasper,GRIN Verlag,2021,,,21,Self-Management,adaptability,goleman,Psychology,9783346555458,https://play.google.com/store/books/details?id=EshUEAAAQBAJ&source=gbs_api,"Essay from the year 2020 in the subject Psychology - Work, Business, Organisation, grade: 1,0, University of Applied Sciences Essen, language: English, abstract: This paper aims at clarifying the concept of emotional intelligence and verifying its importance in the context of change for an individual as well as an organization or company. Given the outlook of Oosthoizen and Harari adaptability to change will be one of the key challenges in the 21st Century. The objective of this paper is to prov",Google Books,2026-08-30
Emotional Intelligence,Gill Hasson,John Wiley & Sons,2024,,,229,Professional Effectiveness,productivity|career,goleman,Self-Help,9781907312670,https://play.google.com/store/books/details?id=G3kvEQAAQBAJ&source=gbs_api,"Transform the way you see the world and the way the world sees you by effectively managing your emotions The happiest and most fulfilled people are not always the cleverest or most talented, skilled, or educated among us. Instead, those who can effectively manage feelings—their own and those of the people around them—frequently wear that crown. And now more than ever, emotional intelligence is the trait you need to develop to unlock your true potential. In the newly revised second edition of Emo",Google Books,2026-08-30
The Language of Emotional Intelligence,Jeanne Segal,McGraw Hill Professional,2008,,,237,Communication,communication|nonverbal,goleman,Business & Economics,9780071544566,https://play.google.com/store/books/details?id=wOefbfeiIfcC&source=gbs_api,"Learn how to increase your emotional intelligence with five simple tools It's no secret that emotional intelligence plays a crucial role in your relationships. But how do you apply these specialized skills in everyday life? It's easy--with this practical, ready-to-use guide by a renowned expert in the field of emotional intelligence and communication. Using the latest research and true-to-life examples, Dr. Jeanne Segal's step-by-step program shows you how to incorporate the five basic tools of ",Google Books,2026-08-30
Emotional Intelligence: The Emotional Intelligence Book - Emotional Intelligence at Work and Emotional Intelligence Leadership,John C. Allen,Editorial Imagen LLC,2017,,,58,Self-Awareness,self-awareness,goleman,Psychology,9781630227234,https://play.google.com/store/books/details?id=O_FwDwAAQBAJ&source=gbs_api,"Emotional Intelligence: The Emotional Intelligence Book -- Emotional Intelligence at Work and Emotional Intelligence Leadership This Emotional Intelligence Book will answer the question: what is emotional intelligence (also referred to as EI.) As the book works to define emotional intelligence through the four main branches, it dives deeper into explaining each branch in hopes of bringing about a higher self-awareness in the reader. Most people walk around with low emotional intelligence out of ",Google Books,2026-08-30
Emotional Intelligence Habits,Travis Bradberry,TalentSmart,2023,,,265,Self-Management,motivation|self-control|willpower|habits,goleman,Self-Help,9780974719382,https://play.google.com/store/books/details?id=4EPJEAAAQBAJ&source=gbs_api,"Change your habits, change your life. A powerful new way to increase your emotional intelligence. Emotional Intelligence Habits is a groundbreaking new book from Dr. Travis Bradberry, author of the bestselling Emotional Intelligence 2.0 that has sold millions of copies worldwide. In Emotional Intelligence Habits, Dr. Bradberry, the world’s foremost expert on EQ, offers an abundance of practical strategies that will teach you how to form good habits, break bad ones, and master the micro behaviors",Google Books,2026-08-30
Emotional Intelligence @ Work,Jolyon Maddocks,Jca Occupational Psychologists,2015,,,333,Professional Effectiveness,performance|focus,goleman,Emotional intelligence,9780992808907,http://books.google.com/books?id=yp6eoAEACAAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Making change stick can be difficult. All too often, following developmental coaching or inspirational training the individual will gradually revert back to their old ways of feeling, thinking and behaving. Emotional Intelligence @ Work explains how to make change sustainable by addressing the underlying attitudes that underpin a person's thinking and feeling that then drive their behaviour, habits and performance. Other approaches to Emotional Intelligence (EI) focus on personality traits and i",Google Books,2026-08-30
Emotional Intelligence 2.0,Albert Piaget,,2020,,,186,Relationship Management,persuasion|leadership,goleman,,9798554388255,http://books.google.com/books?id=KfX9zQEACAAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"★★★ EMOTIONAL INTELLIGENCE 2.0 ★★★ Do you like to know yourself much deeper? Are you interested in strengthening your people's abilities and properly utilize emotional intelligence to live a satisfying and happy life? If that's the case, then keep reading! Everyone is now working towards becoming better versions of themselves. We are all working towards common goals: finding our passion, connecting with people better, excelling in our profession, or spiritually. Most people encounter difficulty,",Google Books,2026-08-30
Executive EQ,"Robert K. Cooper, Ayman Sawaf",Putnam Adult,1997,,,0,Uncategorised,,goleman,Emotional intelligence,9780399142949,http://books.google.com/books?id=_r6fQgAACAAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Describes the Emotional Quotient (EQ) and the EQ Map which can be used to identify the behavioral patterns, values, and emotions which underlie decisions and actions in business situations.",Google Books,2026-08-30
The Emotional Intelligence Activity Kit,"Adele Lynn, Janele Lynn",AMACOM,2015,,,283,Relationship Management,influence|relationship,goleman,Self-Help,9780814449240,https://play.google.com/store/books/details?id=4Id0CgAAQBAJ&source=gbs_api,"Elevate emotional intelligence throughout your organization—and watch profitability, retention, and customer satisfaction soar! Know-it-all bosses, overcompetitive colleagues, and leaders who rarely leave their offices--common EQ problems such as these damage not just camaraderie, but also results. Because of this, managers are discovering now more than ever that emotional intelligence (EI)--knowing how to manage emotions, empathize, build relationships, and more--is a vital contributor to a com",Google Books,2026-08-30
The Emotionally Intelligent Workplace,"Cary Cherniss, Daniel Goleman",Jossey-Bass,2003,,,384,Uncategorised,,goleman,Business & Economics,9780787961053,http://books.google.com/books?id=-ctkZCJcc5UC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"How does emotional intelligence as a competency go beyond the individual to become something a group or entire organization can build and utilize collectively? Written primarily by members of the Consortium for Research on Emotional Intelligence in Organizations, founded by recognized EI experts Daniel Goleman and Cary Cherniss, this groundbreaking compendium examines the conceptual and strategic issues involved in defining, measuring and promoting emotional intelligence in organizations. The bo",Google Books,2026-08-30
Research Handbook on Emotional Intelligence at Work,Aaron J. Nurick,Edward Elgar Publishing,2026,,,397,Uncategorised,,goleman,Psychology,9781035332526,https://play.google.com/store/books/details?id=F8L1EQAAQBAJ&source=gbs_api,"Adopting a forward-thinking approach, this Research Handbook presents a comprehensive and systematic overview of key conceptualizations, research and practical applications of emotional intelligence in the workplace. With expert contributions from original research pioneers on emotional intelligence and new international voices, it showcases a variety of perspectives on this topic. This title contains one or more Open Access chapters.",Google Books,2026-08-30
Understanding Emotional Intelligence,Gill Hasson,Pearson UK,2015,,,205,Social Awareness,empathy|compassion,goleman,Self-Help,9781292084183,http://books.google.com/books?id=IRTQEAAAQBAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Drive your emotions - don't let them drive you! We all know people who are brilliant at managing their emotions. They never get overwhelmed in difficult situations; they are great decision makers; they know when to use their intuition and they express empathy, compassion and understanding towards other people. But most of all, they are excellent communicators. Want to be like this? Understanding Emotional Intelligence shows you how. · Understand how emotions work and how to use them effectively ",Google Books,2026-08-30
Mind Over Matter: The Power of Emotional Intelligence,"Ann J. Polya, Ph.D.",Xlibris Corporation,2012,,,131,Self-Awareness,self-awareness,goleman,Reference,9781477124291,https://play.google.com/store/books/details?id=nS7wlYFx2JIC&source=gbs_api,"Mind over Matter: The Power of Emotional Intelligence” expands on the nature of Emotional Intelligence, which involves better self-awareness of our emotions, those of others and restrain our emotions so that we can optimize our relationship strategies. It is when we are under stress that we revert to behaviors that protect our emotional well-being, and while these reactions can serve us well- as adults they frequently no longer do so. Emotions are an integral part of who we are. With Emotional I",Google Books,2026-08-30
"Loff oc Tack offver den lyckelig Seyervinding til Søes udi Calmar-Sund, i det at voris Flode hafver i Brand anstucket to svenske Skibe, oc erobret sex, hvilcke sex Skibe udi sidste Søe-Slag sig hafde cetereret ind i Calmer-Sund",,,1676,,,6,Uncategorised,,none,,,http://books.google.com/books?id=gc7BjwEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Executive EQ,"Robert K. Cooper, Ayman Sawaf",,2000,,,358,Relationship Management,trust,goleman,Emotional intelligence,9781587990991,http://books.google.com/books?id=WDr9AAAACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"There's more to success than having a high IQ. Knowing when to laugh at the boss's jokes, when to trust a colleague or when someone is on the verge of a nervous breakdown are every bit as vital to workplace survival as knowing how to do cube roots.",Google Books,2026-08-30
The Power of EQ,Karen D. Nutter,Advantage Media Group,2015,,,150,Professional Effectiveness,career|performance|focus|success,goleman,Business & Economics,9781599326030,http://books.google.com/books?id=HAVOCgAAQBAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"Increase your EQ Master Leadership Maximize Your Potential Whether you are an individual searching for solutions, or a business professional looking to empower your employees, The Power of EQ can show you how to create the life you deserve. Successful businesses know that the key to success is having a team of qualified, happy, and confident employees. In The Power of EQ, corporate and lifestyle skills coach Karen Nutter systematically shows you how to create the future you envision by helping y",Google Books,2026-08-30
Emotional Intelligence for the Modern Leader,Christopher D. Connors,"Sourcebooks, Inc.",2020,,,131,Relationship Management,leadership|relationship,goleman,Business & Economics,9781646115617,https://play.google.com/store/books/details?id=4V4XEQAAQBAJ&source=gbs_api,"Discover the secret to business success and transform your career—starting today Success requires more than hard work and good ideas: you need to be able to understand, inspire, and motivate those around you. Emotional Intelligence for the Modern Leader helps you hone your emotional intelligence (EQ)—the ability to be aware of, control, and express your emotions, as well as handle interpersonal relationships empathetically—and enhance your ability to lead. Building off proven research, this user",Google Books,2026-08-30
The EQ Leader,Steven J. Stein,John Wiley & Sons,2017,,,368,Relationship Management,coaching|collaboration|leadership|relationship,goleman,Business & Economics,9781119349037,https://play.google.com/store/books/details?id=9tmdDgAAQBAJ&source=gbs_api,"A roadmap to success for tomorrow's leaders The EQ Leader provides an evidence-based model for exceptional leadership, and a four-pillar roadmap for real-world practice. Data collected from thousands of the world's best leaders—and their subordinates—reveals the keys to success: authenticity, coaching, insight, and innovation. By incorporating these methods into their everyday workflow, these leaders have propelled their teams to heights great enough to highlight the divide between successful an",Google Books,2026-08-30
Emotional Intelligence in Business,R Stevens,Independently Published,2019,,,136,Thinking & Deciding,decision-making|logic,goleman,,9781072476894,http://books.google.com/books?id=bVGaxgEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"At work - Do you sometimes overreact when the stakes are high? Maybe it ́s hard for you to understand what effect your decisions have on your team ́s motivation? Or do react without thinking when a peer surprises with a question you were not prepared for? If so, then keep on reading. According to experts like author Daniel Goleman, Emotional Intelligence contributes to over 80% of business success. You can argue about the exact percentage, but it ́s common sense that IQ doesn ́t give any guarant",Google Books,2026-08-30
Emotional Intelligence for Leadership,Daniel M Power,,2020,,,168,Relationship Management,leadership,goleman,,9781801110594,http://books.google.com/books?id=N90BzgEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"Emotional intelligence or EQ has been popular in the world of businesses since the 1950s. While many years have passed by, EQ still plays a crucial role in business. Renowned world leaders like Jeff Bezos, the founder of Amazon and Ursula Burns, the first-ever black woman to head a world-leading company, all employed this skill when running their company, or businesses. Whether you are emotionally intelligent or not, it does not matter. The great thing is that you can build and harness your skil",Google Books,2026-08-30
Using Emotional Intelligence in the Workplace,Meloney Sallie-Dosunmu,Association for Talent Development,2014,,,24,Professional Effectiveness,success,goleman,Business & Economics,9781562861049,https://play.google.com/store/books/details?id=StqdDQAAQBAJ&source=gbs_api,"Success in the workplace requires more than strong job skills and business savvy. It also requires emotional intelligence. Sometimes called EQ, emotional intelligence is the ability to understand and respond appropriately to your own and others’ emotions. “Using Emotional Intelligence in the Workplace” provides an overview of emotional intelligence and explains how to build important EQ skills. In this issue of TD at Work, you will find: · descriptions of emotional intelligence competencies · a ",Google Books,2026-08-30
Emotional Intelligence for Leadership,Louise Lily Wain,,2020,,,190,Relationship Management,influence|leadership|relationship,goleman,Business & Economics,9781801122511,http://books.google.com/books?id=-u71zQEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"If there was one valuable skill set that you could own and would guarantee your success as a leader, what would it be? Is emotional intelligence the first thing that springs to mind? Most probably, it's not. Yet, it is going to be a skill that you need the most. Have you ever asked yourself why some people are more successful than others? What is it that makes them leaders that stand out in the crowd? Their work ethic and personality could be contributing factors, but that is only one part of th",Google Books,2026-08-30
Emotional Intelligence As a leadership Strategy to Make Leaders Great,Dr. Whitney Stevens,GRIN Verlag,2011,,,189,Professional Effectiveness,performance|success|effectiveness,goleman,Business & Economics,9783656084105,https://play.google.com/store/books/details?id=IsgRrVMsaQoC&source=gbs_api,"Doctoral Thesis / Dissertation from the year 2010 in the subject Business economics - Business Management, Corporate Governance, University of Phoenix, language: English, abstract: Twenty successful leaders in the United States participated in the study to explore the extent to which emotional intelligence supports leadership potential and success. Competent managers with strong leadership skills are scarce (Cafolla, 2008). According to Goleman (2001), EQ might predict up to 90% of the variance ",Google Books,2026-08-30
Emotional Intelligence for Leadership,Neal Cooper,,2020,,,106,Relationship Management,leadership|trust|relationship,goleman,,9781801092074,http://books.google.com/books?id=J3oFzgEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"The Ultimate Guide to Emotional Intelligence - NOW AVAILABLE! Becoming an inspiring leader. Being someone that everybody loves. Getting better positions at your work. Developing powerful business networks. And much, much more... Those are just a fraction of the benefits you can expect with sharp emotional intelligence. Being a leader requires a lot of traits. Just because you're in a higher position, doesn't mean that you're the leader. Leadership is when people trust you, believe you, feel like",Google Books,2026-08-30
Emotional Intelligence Primal Leadership 2.0,Robin T Schneider,,2019,,,152,Relationship Management,leadership|relationship,goleman,Self-Help,9781647450380,http://books.google.com/books?id=IUrWywEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"Emotions are deeply rooted within our lives. They govern our instinct and actions to the point that it is imperative to understand other people's emotions and how to properly react. In our society we hear a lot of about IQ. The general norm is that a person with a high IQ is bound for success. But is that necessarily true? Some are naturally gifted with the ability to solve problems and think of the fly. However, the ability to interact with others in social settings or in a work place truly ove",Google Books,2026-08-30
Emotional Intelligence in the Workplace,Mark Craemer,"Sourcebooks, Inc.",2020,,,131,Relationship Management,collaboration|leadership|trust|relationship,goleman,Business & Economics,9781647391539,https://play.google.com/store/books/details?id=BV4XEQAAQBAJ&source=gbs_api,"""A practical, go-to resource for anyone wishing to improve their EQ. . . . makes EQ accessible. . . . helping the reader establish good EQ habits."" —Joelle K. Jay, Ph.D., Author of The Inner Edge: The 10 Practices of Personal Leadership and T he New Advantage: How Women in Leadership Can Create Win/Wins for Their Companies and Themselves Emotional intelligence refers to your skill at identifying and effectively responding to what you, and the people around you, are thinking and feeling—and it's ",Google Books,2026-08-30
Emotional Intelligence,Ryan Dark,,2019,,,188,Relationship Management,leadership|relationship,goleman,,9781653118328,http://books.google.com/books?id=BOUtzQEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"If you want to unlock the hidden power of your emotional intelligence to win in life and succeed at work then keep reading. Developing emotional intelligence is not so easy A quick internet search will give a lot of information about what emotional intelligence is, but rarely do you get comprehensive information about what you can do to develop emotional intelligence for use at either a personal or a professional level. From its description as the ability to be self-aware and understand other pe",Google Books,2026-08-30
The Role of Emotional Intelligence in Leadership,Nadine Pahl,GRIN Verlag,2009,,,53,Relationship Management,leadership,goleman,Business & Economics,9783640303342,http://books.google.com/books?id=coapjezZmb4C&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"Research Paper (undergraduate) from the year 2008 in the subject Business economics - Business Management, Corporate Governance, grade: 1,0, University of Applied Sciences Berlin, course: Soft Skills & Leadership Qualities, language: English, abstract: Today, in a fast changing business environment, leaders need to manage an empowered workforce and go more and more beyond consultative, cooperative and democratic leadership styles. The today's workforce does not accept an autocratic leadership st",Google Books,2026-08-30
Emotional Intelligence for Leadership,Russ Denzil,,2019,,,144,Relationship Management,leadership,goleman,Business & Economics,9781513674582,http://books.google.com/books?id=jNgmzgEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Emotional Intelligence,James W. Williams,,2019,,,46,Relationship Management,relationship,goleman,,9781951030353,http://books.google.com/books?id=ucmMxwEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,This book will become your essential guide to improving your professional and personal relationships. It will show you how to recognize and interpret the motives behind yours' and others' behavior. It will prepare you for the sophisticated and challenging workplace of the 21st century.,Google Books,2026-08-30
"Emotional Intelligence & Critical Thinking Skills For Leadership (2 in 1): 20 Must Know Strategies To Boost Your EQ, Improve Your Social Skills & Self",Stewart Hunter,Devon House Press,2021,,,214,Thinking & Deciding,critical-thinking|decision-making|bias|cognitive,goleman,Medical,9781801342094,http://books.google.com/books?id=yjA2zgEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"Introducing The Skill Regarded As MORE Important Than IQ For Becoming The Best Leader You Can Be, Building Better Relationships & Thriving In Your Career! Do You Want To Maximize Your Leadership Abilities? Do You Want To Discover How You Can Think Critically In Your Professional & Personal Life? Do You Want To Develop The ULTIMATE Superpower For Becoming More Self-Aware? By now, it's no secret the power that Emotional Intelligence can have on all aspects of our lives. But, if you didn't know, Yo",Google Books,2026-08-30
Emotional Intelligence,Marc Cooper,,2020,,,0,Self-Management,resilience|motivation,goleman,,9781801185059,http://books.google.com/books?id=8dhUzwEACAAJ&dq=EQ+leadership+emotional&hl=&as_pt=BOOKS&source=gbs_api,"Boost Your Emotional Intelligence To Become A Better Leader! The concept of emotional intelligence is one of the most exciting and practical concepts of today's psychological science. In a nutshell, emotional intelligence means understanding emotions - both yours and other people's. An emotionally intelligent person can: cope with stressful situations resolve conflicts inspire and motivate others communicate well and much more! No wonder that most managers believe emotional intelligence to be mo",Google Books,2026-08-30
Soft Skills for the Workplace,Goodheart-Willcox Publisher,Goodheart-Wilcox Publisher,2016,,,0,Professional Effectiveness,career,none,Soft skills,9781631268267,http://books.google.com/books?id=XnkbMQAACAAJ&dq=soft+skills+workplace&hl=&as_pt=BOOKS&source=gbs_api,"""Soft Skills for the Workplace"" is a nontraditional approach to learning basic employability skills needed in today's workplace. Learning how to interact professionally with customers, coworkers, and employers is one sure way to prepare for a career. In today's workplace, it is necessary to have job-specific skills to perform on the job as well as the know-how to interact with coworkers and customers. You may be the most qualified person in your field in terms of hard skills, but if you lack sof",Google Books,2026-08-30
10 Things Employers Expect Their Employees to Know,Frederick H. Wentz,CreateSpace,2013,,,114,Thinking & Deciding,problem-solving|cognitive,none,Core competencies,9781481882767,http://books.google.com/books?id=hl-snAEACAAJ&dq=soft+skills+workplace&hl=&as_pt=BOOKS&source=gbs_api,"This soft skills workbook is an excellent tool for individuals preparing to look for or start new jobs, as well as individuals who are currently working but need to step back and evaluate their performance. It is a practical, helpful guide about acting appropriately and professionally on a job and addresses realities of the working world and how to cope with them, and not just ideal situations. Soft skills are the nontechnical skills and traits that an individual needs to function in the workpla",Google Books,2026-08-30
Soft Skills For Dummies,Cindi Reiman,John Wiley & Sons,2022,,,215,Professional Effectiveness,time-management|career|success,none,Business & Economics,9781119906551,http://books.google.com/books?id=E1SbEAAAQBAJ&dq=soft+skills+workplace&hl=&as_pt=BOOKS&source=gbs_api,"Soft skills make the hard skills work! Soft skills are the personal qualities that make you a great communicator, problem solver, and leader on the job—and in your personal life. Soft Skills For Dummies helps you hone in on the traits you already have—or fine tune the ones that may need some extra attention—to market yourself as a workplace leader who’s in touch with what today’s employers are looking for: people who can lead and inspire through interpersonal communication, cultural awareness, t",Google Books,2026-08-30
Soft Skills for Career Success,"V Bastin Jerome, Alagra Antony",Educreation Publishing,2018,,,204,Professional Effectiveness,career|performance|success,none,Education,,https://play.google.com/store/books/details?id=FQZnDwAAQBAJ&source=gbs_api,"The book ""Soft Skills for Career Success"" plays a vital role in the soft skill development and career success of young talents. Since most of the companies are giving more importance to soft skill of their employees, along with the technical skills, the topic soft skills become more important than ever. Today, as companies increasingly need to become more dynamic, interconnected and flexible, soft skills are critical. These skills important to fostering employee retention, improving leadership, ",Google Books,2026-08-30
Soft Skills,André Iland,iland business pages,2013,,,111,Professional Effectiveness,career|focus|success,goleman,Business & Economics,9781481895378,https://play.google.com/store/books/details?id=VDo07OEaq-IC&source=gbs_api,"If you look for a book dealing with soft skills with a difference, here it is! Yes, you are at the right place for the right material. This special book deals with not only the importance of soft skills, also the use of it both at your workplace and at your homes. The concern is that you are going to make a difference not only in your workplace also in your family. As the book emphasizes the importance of soft skills for making your professional career highly on demand, it also shows ways to mak",Google Books,2026-08-30
