handle,title,vendor,product_type,tags,age_tags,theme_tags,price,isbn,image,description,url
"my-way-to-good-manners","My Way to Good Manners","World of Kids Books","Books","Kindness & Friendship|My Way|Routines & Everyday Life Skills","","Kindness & Friendship|My Way|Routines & Everyday Life Skills","12.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_54159.png?v=1778545142","My Way to Good Manners is a charming children’s book that helps young readers understand why manners matter — at home, at school, at the table, and with friends. The story follows Melissa, a young girl who is still learning how to treat others with kindness and respect. At first, her behavior makes it hard for other children to want to play with her. But as the story unfolds, Melissa begins to understand how small polite choices — like saying “please,” taking turns, listening, sharing, and using","https://www.worldofkidsbooks.com/products/my-way-to-good-manners"
"my-way-to-keep-anger-away","My Way to Keep Anger Away","World of Kids Books","Books","Feelings & Emotional Regulation|Mindfulness & Calm-Down Tools|My Way","","Feelings & Emotional Regulation|Mindfulness & Calm-Down Tools|My Way","16.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_38224.png?v=1778545115","Big feelings can rise fast, and My Way to Keep Anger Away gives children a gentle, encouraging path toward calmer responses. In this heartwarming picture book, Melissa sets off on a magical underwater adventure where sea animals share fun, practical techniques for managing anger in healthy, positive ways. Written for young readers, it’s a thoughtful choice for parents, teachers, counselors, and librarians looking for an engaging story that supports emotional regulation, coping skills, and everyd","https://www.worldofkidsbooks.com/products/my-way-to-keep-anger-away"
"my-way-to-kindness","My Way to Kindness","World of Kids Books","Books","Kindness & Friendship|My Way|Routines & Everyday Life Skills","","Kindness & Friendship|My Way|Routines & Everyday Life Skills","12.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_red_Nano_Banana_2_17639.png?v=1778544980","My Way to Kindness is a sweet and engaging children’s book that helps young readers understand what kindness looks like in everyday life. Through a lighthearted rhyming story, children follow Melissa into a magical dreamland filled with cupcakes, muffins, brownies, donuts, and other charming characters. Along the way, Melissa learns that kindness can be shown in many simple but meaningful ways — sharing, helping others, using polite words, showing gratitude, including others, and treating everyo","https://www.worldofkidsbooks.com/products/my-way-to-kindness"
"my-way-to-making-friends","My Way to Making Friends","World of Kids Books","Books","Confidence & Self-Esteem|Kindness & Friendship|My Way","","Confidence & Self-Esteem|Kindness & Friendship|My Way","16.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_90032.png?v=1778545258","Making friends can feel exciting, awkward, and a little overwhelming all at once—and My Way to Making Friends gives children a warm, encouraging guide for those moments. Written for young readers, this engaging picture book explores friendship, inclusion, and the social skills that help children connect with others in kind and confident ways. With relatable storytelling and a reassuring tone, it’s a thoughtful choice for parents, teachers, counselors, and librarians looking to support healthy pe","https://www.worldofkidsbooks.com/products/my-way-to-making-friends"
"nala-the-narwhal-learns-to-make-friends","Nala the Narwhal Learns to Make Friends","World of Kids Books","Books","Classroom & Library Favorites|Confidence & Self-Esteem|Counselor Pick|Featured|Kindness & Friendship|Nala the Narwhal|New","","Confidence & Self-Esteem|Kindness & Friendship|Nala the Narwhal|New","16.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_pur_Nano_Banana_2_19383.png?v=1778187070","This title is available for preorder. It will be released on July 14, 2026. Nala the Narwhal Learns to Make Friends is a sparkling, engaging picture book for ages 3–5 that helps young children navigate first-friend jitters with warmth, humor, and heart. When Nala feels nervous, her rainbow colors turn bright pink—but with gentle encouragement, she discovers that a smile and a simple “hello” can be the start of something wonderful. With its enchanting undersea world, relatable emotional hook, and","https://www.worldofkidsbooks.com/products/nala-the-narwhal-learns-to-make-friends"
"our-diversity-makes-us-stronger","Our Diversity Makes Us Stronger","World of Kids Books","Books","Bestseller|Classroom & Library Favorites|Confidence & Self-Esteem|Counselor Pick|Featured|Kindness & Friendship|World of Kids' Emotions","","Confidence & Self-Esteem|Kindness & Friendship|World of Kids' Emotions","16.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_yel_Nano_Banana_2_51585.png?v=1778187020","Our Diversity Makes Us Stronger has been selected by the California Teachers Association (CTA) as a California Reads 2024-2025 Recommended Book! If you want to teach your child to accept himself and others as they are, then this picture book about diversity will be your best assistant. It will help your little ones to respect all the differences that make us unique. In this kids’ book, our little hero named Nick will show your children that we all are different in many ways, and everyone is uniq","https://www.worldofkidsbooks.com/products/our-diversity-makes-us-stronger"
"patch-work-bee-brave-bee-kind-bee-you","Patch Work: Bee Brave. Bee Kind. Bee You.","World of Kids Books","Books","Confidence & Self-Esteem|Featured|Preorder","","Confidence & Self-Esteem|Preorder","19.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_85662.png?v=1779138265","This title is available for preorder. It will be released on October 13, 2026. You don't have to change what you love to be yourself. Help young readers embrace what makes them special with Craig Conover's Patch Work: Bee Brave. Bee Kind. Bee You. Little Craig loves making things. When his teacher announces they'll have a talent show, he's excited to share what he's proud of most: sewing. After a classmate makes fun of him and a few kids laugh along, Little Craig starts to feel embarrassed and u","https://www.worldofkidsbooks.com/products/patch-work-bee-brave-bee-kind-bee-you"
"perserverance-makes-me-stronger","Perseverance Makes Me Stronger","World of Kids Books","Books","Feelings & Emotional Regulation|Routines & Everyday Life Skills|World of Kids' Emotions","","Feelings & Emotional Regulation|Routines & Everyday Life Skills|World of Kids' Emotions","12.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_97756.png?v=1778544032","Perseverance Makes Me Stronger is an inspiring children’s book about confidence, resilience, and learning not to give up. The story follows Nick, a young boy who is excited to learn how to roller skate. But when skating turns out to be harder than he expected, Nick feels frustrated, discouraged, and unsure of himself. With practice, patience, and encouragement, he begins to understand that mistakes are part of learning — and that he can keep trying even when something feels difficult. This socia","https://www.worldofkidsbooks.com/products/perserverance-makes-me-stronger"
"world-of-kids-emotions-hardcover-box-set","World of Kids Emotions 5-Book Hardcover Box Set","World of Kids Books","Box Set","Confidence & Self-Esteem|Counselor Pick|Kindness & Friendship|World of Kids' Emotions","","Confidence & Self-Esteem|Kindness & Friendship|World of Kids' Emotions","44.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_63923.png?v=1778544331","5 Hardcover Books + FREE Bonus Paperback $44.99 · $97.94 Value if Purchased Individually · FREE U.S. Shipping The five hardcover books alone are an $84.95 value when purchased individually . For a limited time, you'll also receive a FREE paperback copy of the bestselling Body Boundaries Make Me Stronger — a $12.99 value. Help kids feel ready for big feelings, new experiences, and everyday challenges. The World of Kids Emotions 5-Book Hardcover Box Set gives children ages 4–8 practical, kid-frien","https://www.worldofkidsbooks.com/products/world-of-kids-emotions-hardcover-box-set"
"world-of-kids-emotions-softcover-box-set","World of Kids Emotions 8-Book Softcover Box Set","World of Kids Books","Box Set","Classroom & Library Favorites|Confidence & Self-Esteem|Counselor Pick|Feelings & Emotional Regulation|World of Kids' Emotions","","Confidence & Self-Esteem|Feelings & Emotional Regulation|World of Kids' Emotions","49.99","","https://cdn.shopify.com/s/files/1/0691/5368/5613/files/Make_the_background_canvas_bri_Nano_Banana_2_38626.png?v=1778543880","8 Softcover Books · A Complete SEL Toolkit $49.99 · $103.92 Value if Purchased Individually · FREE U.S. Shipping The eight softcover books are a $103.92 value when purchased individually . Get the complete collection together for just $49.99 — a savings of more than 50%. Help kids feel ready for big feelings, new experiences, and everyday challenges. The World of Kids Emotions 8-Book Softcover Box Set gives children ages 4–8 practical, kid-friendly tools for navigating anger, anxiety, kindness, ","https://www.worldofkidsbooks.com/products/world-of-kids-emotions-softcover-box-set"
